Algorithm,Instance,Cov_mean,Cov_std,HV_mean,HV_std,Nnds_mean,Nnds_std,IGD_mean,IGD_std
MOPSO,C101,0.0,0.0,1.0053846150211054e-05,0.0,2.0,0.0,64870.09307299507,0.0
NSGA-II,C101,0.0,0.0,1.0000000000000045e-05,0.0,1.0,0.0,0.7379585492923599,0.0
MOEA/D,C101,0.0,0.0,1.0000000000000045e-05,0.0,1.0,0.0,0.7379585492923599,0.0
SPEA2,C101,0.0,0.0,1.0000000000000045e-05,0.0,1.0,0.0,0.7379585492923599,0.0
NSSSO,C101,0.0,0.0,1.0057398124156513e-05,0.0,3.0,0.0,43747.89353462963,0.0
iNSSSO,C101,1.0,0.0,0.000149059920318218,0.0,11.0,0.0,0.0,0.0
